PRI Local bodies of Maharashtra (State Code: 27) State,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Parent Localbody Code
1,1,Zilla Parishad,424,2,Ahilyanagar,अहिल्यानगर,0
2,1,Zilla Parishad,425,1,Akola,अकोला,0
3,1,Zilla Parishad,426,1,Amravati,अमरावती,0
4,1,Zilla Parishad,428,1,Beed,बीड,0
5,1,Zilla Parishad,429,1,Bhandara,भंडारा,0
6,1,Zilla Parishad,430,1,Buldhana,बुलढाणा,0
7,1,Zilla Parishad,431,1,Chandrapur,चंद्रपूर,0
8,1,Zilla Parishad,427,2,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर,0
9,1,Zilla Parishad,444,2,Dharashiv,धाराशिव,0
10,1,Zilla Parishad,432,1,Dhule,धुळे,0
11,1,Zilla Parishad,433,1,Gadchiroli,गडचिरोली,0
12,1,Zilla Parishad,434,1,Gondia,गोंदिया,0
13,1,Zilla Parishad,435,1,Hingoli,हिंगोली,0
14,1,Zilla Parishad,436,1,Jalgaon,जळगाव,0
15,1,Zilla Parishad,437,1,Jalna,जालना,0
16,1,Zilla Parishad,438,1,Kolhapur,कोल्हापूर,0
17,1,Zilla Parishad,439,1,Latur,लातूर,0
18,1,Zilla Parishad,440,1,Nagpur,नागपूर,0
19,1,Zilla Parishad,441,1,Nanded,नांदेड,0
20,1,Zilla Parishad,442,1,Nandurbar,नंदूरबार,0
21,1,Zilla Parishad,443,1,Nashik,नाशिक,0
22,1,Zilla Parishad,261449,1,Palghar,पालघर,0
23,1,Zilla Parishad,445,1,Parbhani,परभणी,0
24,1,Zilla Parishad,446,1,Pune,पुणे,0
25,1,Zilla Parishad,447,1,Raigad,रायगड,0
26,1,Zilla Parishad,448,1,Ratnagiri,रत्नागिरी,0
27,1,Zilla Parishad,449,1,Sangli,सांगली,0
28,1,Zilla Parishad,450,1,Satara,सातारा,0
29,1,Zilla Parishad,451,2,Sindhudurg,सिंधुदुर्ग,0
30,1,Zilla Parishad,452,1,Solapur,सोलापूर,0
31,1,Zilla Parishad,453,2,Thane,ठाणे,0
32,1,Zilla Parishad,454,1,Wardha,वर्धा,0
33,1,Zilla Parishad,455,1,Washim,वाशिम,0
34,1,Zilla Parishad,456,1,Yavatmal,यवतमाळ,0
35,2,Block Panchayat,4656,1,Achalpur,अचलपुर,426
36,2,Block Panchayat,4789,1,Ahemadpur,अहमदपूर,439
37,2,Block Panchayat,4729,1,Aheri,अहेरी,433
38,2,Block Panchayat,4639,2,Ahilyanagar,अहिल्यानगर,424
39,2,Block Panchayat,4777,1,Ajara,अजरा,438
40,2,Block Panchayat,4829,1,Akarani,अकर्नी,442
41,2,Block Panchayat,4933,1,Akkalkot,अक्कलकोट,452
42,2,Block Panchayat,4828,1,Akkalkuwa,अक्कलकुवा,442
