Urban Local bodies of Maharashtra (State Code: 27) State,,,,,,,,
S.No.,Localbody Type Code,Localbody Type Name,Localbody Code,Localbody Version,Localbody Name (In English),Localbody Name (In Local),Census 2001 Code,Census 2011 Code
1,4,Municipal Corporation,251548,3,Ahmadnagar,अहमदनगर,802828,4
2,4,Municipal Corporation,251312,2,Akola,अकोला,802676,4
3,4,Municipal Corporation,251328,4,Amravati,अमरावती,802690,4
4,4,Municipal Corporation,251428,5,Aurangabad,औरंगाबाद,802765,4
5,4,Municipal Corporation,251477,7,Bhiwandi,भिवंडी,802789,4
6,4,Municipal Corporation,248082,4,Chandrapur,चंद्रपूर,802722,4
7,4,Municipal Corporation,251282,19,Dhule,धुळे,802646,4
8,4,Municipal Corporation,251488,5,Greater Mumbai,मोठे मुंबई,802794,4
9,4,Municipal Corporation,251619,4,Ichalkaranji,इचलकरंजी,802884,4
10,4,Municipal Corporation,276571,3,Jalgaon,जळगाव,802653,4
11,4,Municipal Corporation,251423,3,Jalna,जालना,802760,4
12,4,Municipal Corporation,251483,6,Kalyan-Dombivli,कल्याण-डोंबिवली,802790,4
13,4,Municipal Corporation,251625,2,Kolhapur,कोल्हापूर,802887,4
14,4,Municipal Corporation,251561,3,Latur,लातूर,802840,4
15,4,Municipal Corporation,251438,9,Malegaon,मालेगांव,802772,4
16,4,Municipal Corporation,251470,5,Mira-Bhayandar,मिरा-भाईंदर,802786,4
17,4,Municipal Corporation,251362,5,Nagpur,नागपूर,802710,4
18,4,Municipal Corporation,251401,2,Nanded-Waghala,नांदेड-वाघाळा,802737,4
19,4,Municipal Corporation,251442,2,Nashik,नाशिक,802776,4
20,4,Municipal Corporation,251472,3,Navi Mumbai,नवी मुंबई,802788,4
21,4,Municipal Corporation,251492,26,Panvel,पनवेल,802796,4
22,4,Municipal Corporation,251416,3,Parbhani,परभणी,802753,4
23,4,Municipal Corporation,251528,2,Pimpri Chinchwad,पिंपरी चिंचवड,802811,4
24,4,Municipal Corporation,251530,15,Pune,पुणे,802814,4
25,4,Municipal Corporation,251639,2,Sangli-Miraj Kupwad,सांगली-मिरज कुपवाड,802895,4
26,4,Municipal Corporation,251577,2,Solapur,सोलापूर,802856,4
27,4,Municipal Corporation,251471,7,Thane,ठाणे,802787,4
28,4,Municipal Corporation,251484,3,Ulhasnagar,उल्हासनगर,802791,4
29,4,Municipal Corporation,251463,9,Vasai-Virar,वासी-विरार,802785,4
30,5,Municipality,251323,3,Achalpur,अचलपूर,802685,5
31,5,Municipality,251562,2,Ahmadpur,अहमदपूर,802841,5
32,5,Municipality,251581,1,Akkalkot,अक्कलकोट,802860,5
33,5,Municipality,300383,2,Akluj,अकलूज,0,5
34,5,Municipality,251310,3,Akot,अकोट,802674,5
35,5,Municipality,251521,1,Alandi,आळंदी,802808,5
36,5,Municipality,251503,2,Alibag,अलिबाग,802801,5
37,5,Municipality,251294,2,Amalner,अंमळनेर,802656,5
38,5,Municipality,251424,2,Ambad,अंबड,802761,5
39,5,Municipality,251560,2,Ambajogai,अंबाजोगाई,802839,5
40,5,Municipality,251485,4,Ambarnath,अंबरनाथ,802793,5
